,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
353,284130,18469,Confirmed Eruption,1,Observations: Reported,2010,2,3,2010,4,8,2010-02-03,2010-04-08
354,284130,18458,Confirmed Eruption,1,Observations: Reported,1992,11,10,1993,9,9,1992-11-10,1993-09-09
355,284141,20936,Confirmed Eruption,2,Observations: Hydrophonic,2014,4,24,2014,5,17,2014-04-24,2014-05-17
356,284170,20803,Confirmed Eruption,2,Observations: Reported,2011,4,23,2011,9,1,2011-04-23,2011-09-01
357,284170,20804,Confirmed Eruption,2,Observations: Reported,2012,7,10,2012,7,10,2012-07-10,2012-07-10
358,284170,18519,Confirmed Eruption,1,Observations: Reported,1992,4,13,1992,4,13,1992-04-13,1992-04-13
359,284170,18520,Confirmed Eruption,2,Observations: Reported,1993,1,15,1993,11,16,1993-01-15,1993-11-16
360,284170,18521,Confirmed Eruption,1,Observations: Reported,1996,7,2,1996,7,2,1996-07-02,1996-07-02
361,284170,18522,Confirmed Eruption,1,Observations: Reported,2006,12,4,2006,12,8,2006-12-04,2006-12-08
362,284170,18523,Uncertain Eruption,2,unknown,2009,4,15,2009,4,15,2009-04-15,2009-04-15
363,284170,18524,Confirmed Eruption,1,Observations: Reported,2010,5,3,2010,8,11,2010-05-03,2010-08-11
364,284170,18515,Confirmed Eruption,4,Observations: Reported,1981,5,15,1985,5,1,1981-05-15,1985-05-01
365,284170,18516,Confirmed Eruption,1,Observations: Reported,1987,9,4,1987,9,4,1987-09-04,1987-09-04
366,284170,18518,Confirmed Eruption,2,Observations: Reported,1988,8,24,1988,10,12,1988-08-24,1988-10-12
367,284202,18534,Confirmed Eruption,1,Observations: Reported,1995,10,11,1995,10,25,1995-10-11,1995-10-25
368,284200,18535,Confirmed Eruption,3,Observations: Reported,2003,5,10,2003,7,12,2003-05-10,2003-07-12
369,284200,18536,Confirmed Eruption,3,Observations: Reported,2004,4,12,2005,9,3,2004-04-12,2005-09-03
370,284200,18537,Confirmed Eruption,2,Observations: Reported,2006,3,20,2006,6,26,2006-03-20,2006-06-26
371,284200,18538,Confirmed Eruption,2,Observations: Reported,2007,11,27,2008,8,9,2007-11-27,2008-08-09
372,300230,19264,Confirmed Eruption,3,Observations: Reported,2010,11,11,2013,9,13,2010-11-11,2013-09-13
373,300240,19323,Confirmed Eruption,4,Observations: Reported,1975,6,28,1976,12,10,1975-06-28,1976-12-10
374,300240,19320,Confirmed Eruption,1,Observations: Reported,1970,1,16,1970,4,16,1970-01-16,1970-04-16
375,300240,19321,Confirmed Eruption,2,Observations: Reported,1970,9,16,1970,12,1,1970-09-16,1970-12-01
376,300240,19322,Uncertain Eruption,1,unknown,1973,10,16,1974,12,16,1973-10-16,1974-12-16
377,300240,20825,Confirmed Eruption,3,Observations: Reported,2012,11,27,2013,9,5,2012-11-27,2013-09-05
378,300250,22496,Confirmed Eruption,3,Observations: Reported,2016,12,5,2021,2,1,2016-12-05,2021-02-01
379,300250,19385,Confirmed Eruption,3,Observations: Reported,2007,5,10,2007,12,24,2007-05-10,2007-12-24
