,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
576,357120,12183,Confirmed Eruption,1,Observations: Reported,2009,1,29,2009,3,24,2009-01-29,2009-03-24
577,357120,12172,Confirmed Eruption,1,Observations: Reported,1994,9,26,1994,12,30,1994-09-26,1994-12-30
578,357120,12173,Confirmed Eruption,1,Observations: Reported,1995,4,15,1995,6,2,1995-04-15,1995-06-02
579,357120,12174,Confirmed Eruption,1,Observations: Reported,1996,1,16,1996,1,16,1996-01-16,1996-01-16
580,357120,12169,Confirmed Eruption,2,Observations: Reported,1984,8,11,1985,11,18,1984-08-11,1985-11-18
581,357120,12170,Confirmed Eruption,2,Observations: Reported,1991,8,30,1991,9,17,1991-08-30,1991-09-17
582,357120,12171,Confirmed Eruption,1,Observations: Reported,1992,9,11,1992,12,16,1992-09-11,1992-12-16
583,357120,20996,Confirmed Eruption,3,Observations: Reported,2014,12,2,2024,12,13,2014-12-02,2024-12-13
584,357120,12165,Confirmed Eruption,2,Observations: Reported,1971,10,29,1972,2,21,1971-10-29,1972-02-21
585,357120,12166,Confirmed Eruption,1,Observations: Reported,1977,1,26,1977,1,30,1977-01-26,1977-01-30
586,357120,12167,Confirmed Eruption,2,Observations: Reported,1980,6,20,1980,9,24,1980-06-20,1980-09-24
587,357120,12168,Confirmed Eruption,1,Observations: Reported,1983,10,14,1983,10,16,1983-10-14,1983-10-16
588,357140,12189,Confirmed Eruption,2,Observations: Reported,1979,4,14,1979,5,20,1979-04-14,1979-05-20
589,357150,20809,Confirmed Eruption,5,Observations: Reported,2011,6,4,2012,4,21,2011-06-04,2012-04-21
590,357150,12216,Confirmed Eruption,1,Observations: Reported,1990,7,2,1990,7,2,1990-07-02,1990-07-02
654,351060,11339,Confirmed Eruption,2,Observations: Reported,1977,3,19,1977,3,28,1977-03-19,1977-03-28
655,351080,20764,Confirmed Eruption,2,Observations: Reported,2012,5,13,2014,1,30,2012-05-13,2014-01-30
656,351080,11376,Confirmed Eruption,1,Observations: Reported,2002,6,7,2002,6,7,2002-06-07,2002-06-07
657,351080,11377,Confirmed Eruption,3,Observations: Reported,2004,7,16,2005,2,7,2004-07-16,2005-02-07
658,351080,11378,Confirmed Eruption,2,Observations: Reported,2005,11,24,2006,7,12,2005-11-24,2006-07-12
659,351080,11379,Confirmed Eruption,3,Observations: Reported,2007,10,4,2008,1,17,2007-10-04,2008-01-17
660,351080,11380,Confirmed Eruption,3,Observations: Reported,2008,10,21,2010,1,2,2008-10-21,2010-01-02
661,351080,11381,Confirmed Eruption,1,Observations: Reported,2010,8,25,2010,8,25,2010-08-25,2010-08-25
662,351080,11370,Uncertain Eruption,2,unknown,1973,5,16,1973,5,16,1973-05-16,1973-05-16
663,351080,11371,Confirmed Eruption,1,Observations: Reported,1974,7,2,1983,7,2,1974-07-02,1983-07-02
664,351080,11372,Confirmed Eruption,2,Observations: Reported,1989,2,19,1989,5,9,1989-02-19,1989-05-09
665,351080,11373,Confirmed Eruption,2,Observations: Reported,1990,1,7,1992,7,16,1990-01-07,1992-07-16
666,351080,11374,Confirmed Eruption,2,Observations: Reported,1993,1,14,1993,6,7,1993-01-14,1993-06-07
667,351080,11375,Confirmed Eruption,1,Observations: Reported,2000,3,21,2000,5,18,2000-03-21,2000-05-18
