,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
494,343100,10862,Confirmed Eruption,1,Observations: Reported,1976,12,2,1977,3,1,1976-12-02,1977-03-01
495,344020,10880,Confirmed Eruption,1,Observations: Reported,1971,5,3,1971,7,5,1971-05-03,1971-07-05
496,344020,20941,Confirmed Eruption,1,Observations: Reported,2014,2,4,2014,4,12,2014-02-04,2014-04-12
497,344020,22130,Confirmed Eruption,2,Observations: Reported,2016,4,22,2016,4,22,2016-04-22,2016-04-22
498,344020,20815,Confirmed Eruption,2,Observations: Reported,2012,9,8,2012,9,15,2012-09-08,2012-09-15
499,344020,20816,Confirmed Eruption,2,Observations: Reported,2012,12,26,2012,12,28,2012-12-26,2012-12-28
500,344020,20817,Confirmed Eruption,1,Observations: Reported,2013,6,7,2013,6,7,2013-06-07,2013-06-07
501,344020,22252,Confirmed Eruption,3,Observations: Reported,2017,8,18,2017,11,11,2017-08-18,2017-11-11
502,344020,22266,Confirmed Eruption,1,Observations: Reported,2018,4,22,2018,4,22,2018-04-22,2018-04-22
503,344020,22267,Confirmed Eruption,1,Observations: Reported,2014,7,20,2014,10,1,2014-07-20,2014-10-01
504,344020,22268,Confirmed Eruption,2,Observations: Reported,2015,3,5,2015,6,12,2015-03-05,2015-06-12
505,344020,22269,Confirmed Eruption,1,Observations: Reported,2017,2,18,2017,4,19,2017-02-18,2017-04-19
506,344020,22311,Confirmed Eruption,1,Observations: Reported,2019,3,4,2019,3,4,2019-03-04,2019-03-04
507,344020,10893,Confirmed Eruption,1,Observations: Reported,2007,11,8,2007,11,8,2007-11-08,2007-11-08
508,344020,10894,Confirmed Eruption,1,Observations: Reported,2008,6,22,2008,8,5,2008-06-22,2008-08-05
509,344020,10895,Confirmed Eruption,1,Observations: Reported,2008,11,21,2008,11,21,2008-11-21,2008-11-21
510,344020,10896,Confirmed Eruption,2,Observations: Reported,2009,9,6,2009,12,26,2009-09-06,2009-12-26
511,344020,10897,Confirmed Eruption,2,Observations: Reported,2010,6,9,2011,1,13,2010-06-09,2011-01-13
512,344020,10898,Confirmed Eruption,1,Observations: Reported,2011,8,21,2011,10,23,2011-08-21,2011-10-23
513,344020,10887,Confirmed Eruption,2,Observations: Reported,1999,5,1,2000,6,16,1999-05-01,2000-06-16
514,344020,10888,Confirmed Eruption,1,Observations: Reported,2001,5,11,2001,12,9,2001-05-11,2001-12-09
515,344020,10889,Confirmed Eruption,1,Observations: Reported,2002,5,29,2002,12,16,2002-05-29,2002-12-16
516,344020,10890,Confirmed Eruption,1,Observations: Reported,2003,6,17,2004,6,13,2003-06-17,2004-06-13
517,344020,10891,Confirmed Eruption,1,Observations: Reported,2004,12,3,2004,12,7,2004-12-03,2004-12-07
518,344020,10892,Confirmed Eruption,2,Observations: Reported,2005,11,13,2006,5,27,2005-11-13,2006-05-27
