,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
321,241040,14483,Confirmed Eruption,2,Observations: Reported,1970,6,30,1970,6,30,1970-06-30,1970-06-30
322,241040,14484,Confirmed Eruption,2,Observations: Reported,1971,4,9,1971,4,9,1971-04-09,1971-04-09
323,241040,14485,Confirmed Eruption,2,Observations: Reported,1971,7,19,1971,7,20,1971-07-19,1971-07-20
324,241050,14526,Confirmed Eruption,1,Observations: Reported,1981,5,16,1981,5,16,1981-05-16,1981-05-16
325,241050,14524,Confirmed Eruption,1,Observations: Reported,1973,2,22,1973,2,22,1973-02-22,1973-02-22
326,241050,14525,Confirmed Eruption,1,Observations: Reported,1978,2,23,1978,2,23,1978-02-23,1978-02-23
591,243080,14770,Confirmed Eruption,3,Observations: Reported,1984,3,1,1984,3,5,1984-03-01,1984-03-05
592,243080,14771,Confirmed Eruption,2,Observations: Reported,2006,8,7,2006,8,16,2006-08-07,2006-08-16
593,243091,14772,Confirmed Eruption,2,Observations: Reported,2001,9,27,2001,9,28,2001-09-27,2001-09-28
594,243091,22460,Confirmed Eruption,3,Observations: Satellite (visual),2019,8,6,2019,8,8,2019-08-06,2019-08-08
595,243102,14775,Confirmed Eruption,3,Observations: Reported,1973,7,11,1973,7,16,1973-07-11,1973-07-16
596,243102,14776,Confirmed Eruption,1,Observations: Reported,1979,5,14,1979,5,14,1979-05-14,1979-05-14
597,243100,14784,Uncertain Eruption,1,unknown,1974,2,16,1974,2,16,1974-02-16,1974-02-16
926,241080,20826,Confirmed Eruption,2,Observations: Reported,2012,8,6,2012,8,7,2012-08-06,2012-08-07
927,241080,20827,Confirmed Eruption,2,Observations: Reported,2012,11,21,2012,11,21,2012-11-21,2012-11-21
928,241080,14605,Confirmed Eruption,1,Observations: Reported,1977,7,4,1977,7,4,1977-07-04,1977-07-04
929,241080,14601,Confirmed Eruption,2,Observations: Reported,1972,3,19,1972,6,6,1972-03-19,1972-06-06
930,241080,14602,Confirmed Eruption,3,Observations: Reported,1972,11,22,1974,8,19,1972-11-22,1974-08-19
931,241080,14603,Confirmed Eruption,3,Observations: Reported,1975,2,12,1975,2,23,1975-02-12,1975-02-23
932,241080,14604,Confirmed Eruption,1,Observations: Reported,1976,8,23,1976,8,28,1976-08-23,1976-08-28
933,241100,14664,Confirmed Eruption,3,Observations: Reported,1995,1,11,1995,11,9,1995-01-11,1995-11-09
934,241100,14666,Confirmed Eruption,3,Observations: Reported,1996,6,16,1996,9,1,1996-06-16,1996-09-01
