,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
991,267040,16570,Confirmed Eruption,2,Observations: Reported,2004,6,2,2004,8,16,2004-06-02,2004-08-16
992,267040,16569,Confirmed Eruption,1,Observations: Reported,1992,4,7,1992,4,7,1992-04-07,1992-04-07
993,268030,16579,Confirmed Eruption,2,Observations: Reported,1998,12,18,1999,9,16,1998-12-18,1999-09-16
994,268030,16582,Confirmed Eruption,1,Observations: Reported,2008,4,5,2024,12,19,2008-04-05,2024-12-19
995,268040,16595,Confirmed Eruption,2,Observations: Reported,2007,7,8,2007,7,16,2007-07-08,2007-07-16
996,268040,20915,Uncertain Eruption,1,Observations: Reported,2013,1,23,2013,5,27,2013-01-23,2013-05-27
997,268040,16593,Confirmed Eruption,1,Observations: Reported,1981,3,4,1981,7,25,1981-03-04,1981-07-25
998,268040,16594,Confirmed Eruption,1,Observations: Reported,1987,4,13,1987,4,26,1987-04-13,1987-04-26
1007,273070,16858,Confirmed Eruption,1,Observations: Reported,1970,11,9,1970,11,13,1970-11-09,1970-11-13
1008,273070,16859,Confirmed Eruption,2,Observations: Reported,1976,9,3,1976,10,17,1976-09-03,1976-10-17
1009,273070,16860,Confirmed Eruption,2,Observations: Reported,1977,10,3,1977,11,12,1977-10-03,1977-11-12
1010,273083,16867,Confirmed Eruption,6,Observations: Reported,1991,4,2,1991,9,2,1991-04-02,1991-09-02
1011,273083,16868,Confirmed Eruption,1,Observations: Reported,1992,7,9,1992,10,30,1992-07-09,1992-10-30
1012,273083,16869,Confirmed Eruption,1,Observations: Reported,1993,2,16,1993,7,16,1993-02-16,1993-07-16
1072,266010,16423,Confirmed Eruption,4,Observations: Reported,1983,7,18,1983,12,16,1983-07-18,1983-12-16
1073,266020,20947,Confirmed Eruption,1,Observations: Reported,2005,12,22,2005,12,22,2005-12-22,2005-12-22
